"","list1_2017","list1_2018","list1_2019","list1_2020"
"1",-0.811501301103886,-1.03526824223513,-1.18200851259702,-1.16035672078167
"2",-2.5930901163717,-2.48206991179951,-2.35946753204519,-2.34670896806096
"3",0.727566578216576,0.439860582814149,0.368492213033496,0.348107474820993
"4",-0.0437283338809667,0.113282709750502,0.129517256289589,0.120155932421256
"5",1.80508157327954,2.21977695339447,2.09770874150632,2.0513480484445
"6",0.0754184716742171,0.14533515870996,0.193347169692976,0.188332120959517
"7",0.934236886964127,1.07626441278,1.138386492961,1.15951766690001
"8",0.700823947045685,0.921707214212651,0.963956346222317,0.993840781591394
"9",-0.98282932244568,-0.829899236148869,-0.935684989645432,-0.927673852189626
"10",3.74830678468548,4.67623916870017,4.47472466585649,4.09565718687306
"11",4.69368212665175,5.07143988796253,5.11297682405095,5.01749194594949
"12",0.0707927927569999,0.130362202465211,-0.139802137933832,-0.308616200136048
"13",5.21002034166188,4.9509091711419,5.71366598442868,6.2309381074154
"14",-1.57599326551397,-1.65839805823393,-1.51090471113966,-1.37490203873088
"15",2.64029062803036,2.57951530740821,2.37772089378572,2.15405041992058
"16",0.541291830729943,0.333935785455788,0.262839529063597,0.235362732061442
"17",-0.00996531682360714,-0.00567855596250216,-0.000159298093232441,-0.00798008348617326
"18",0.0907926083214272,0.0523922929697021,-0.0312251192388906,0.00666497193136014
"19",-0.121106367058364,-0.151461289276292,0.343754512828465,1.11377421976767
"20",-0.0508838118517338,0.00995668270673855,-0.0241960961606384,0.0714420556619221
"21",-3.17556083031365,-3.06331928656199,-3.04440475022254,-2.97178103097655
"22",0.372912773525396,0.447056725275366,0.429836926151107,0.402321047444191
"23",-5.71561804715093,-5.32495928375296,-5.45554838597654,-5.53159556886901
"24",0.285912664136449,0.218369636429621,0.174023156002699,0.16241315524213
"25",0.657827286134959,0.462820974979529,0.327978232672425,0.443812521114768
"26",2.19688009450432,1.98248774707233,1.87181084091927,1.99137429486734
"27",1.13804004366157,1.35853975609504,1.2755991011426,1.22694551778458
"28",2.74785810532198,2.8699691702303,2.74806444858415,2.82476798314221
"29",2.9903554012356,2.94115616352428,2.886665745148,2.93105779199026
"30",2.7849925936691,3.06071155594381,3.00875370696031,3.00627310390517
"31",2.18914381658386,1.85089953214201,2.05063633980963,2.06985660606571
