"","list2_2017","list2_2018","list2_2019","list2_2020"
"1",-0.10190477847477,-0.0924531556162135,-0.0461972970138894,-0.0343843480840543
"2",0.152585633773832,0.189618173707155,0.223267235349538,0.232764300699673
"3",0.551556894944954,0.724083648340531,0.764988646521873,0.812348742332278
"4",0.844148299892145,0.858959157956925,0.872720287887344,0.894112521887864
"5",1.81302256409923,1.70669585898981,1.61848747445913,1.68340052402921
"6",0.637979502695911,0.589704262378215,0.590756747152973,0.647711045590824
"7",0.810070995417186,0.721864192792035,0.697817541121581,0.743954678146293
"8",0.761291167748036,0.710948921234886,0.68210851592853,0.734303779819297
"9",0.117590272510827,-0.0112001869142418,0.0328543900374591,0.0919046379376874
"10",2.43892697030066,1.49451011257331,1.33802638784301,1.75954230333345
"11",2.1922346303406,1.79825015432929,1.97184022742851,2.23173882566772
"12",0.272430754050837,0.0358683538565635,0.110658961953359,0.275812366349773
"13",-0.18580494352518,0.155116181660386,-0.00119432280215066,-0.0625121496737652
"14",-0.847167064334105,-0.236840646066123,-0.0364981948407981,0.0630187954920611
"15",0.576436967575194,0.220675190110674,0.00692194916664749,0.128250632593226
"16",0.0901988954441499,0.149943721958025,0.153231584565401,0.147726781030646
"17",0.00693205651869058,0.00853803526537553,0.000252692067095847,1.78165545881801e-07
"18",-0.274138603396063,-0.429618905023384,-0.329570430149158,-0.440511092455253
"19",-6.46028998737846,-6.02279607729903,-5.73350532852135,-5.68227297213797
"20",-1.47757654171028,-1.5351682132552,-1.57358195335647,-1.52933249972861
"21",-2.06903619899218,-1.98622177668664,-1.99888666055636,-2.04676621006834
"22",0.153278472480074,0.119017901981216,0.0928783957376668,0.106540253998531
"23",-0.275390826522628,-0.311525404568421,-0.217162528671843,-0.145857453884859
"24",0.273369966314836,0.200187795496092,0.182576501068664,0.205620900506663
"25",0.385901208266753,0.284781979931939,0.28321524043714,0.31516517398503
"26",0.762859866991495,0.630612010512566,0.636575735400893,0.684803022960846
"27",0.594656928317253,0.648732761325046,0.606069810844749,0.662158935407172
"28",1.57512387860626,1.38506396184471,1.34092366310286,1.40371795788302
"29",0.98133625756337,0.849901947550552,0.856312371064586,0.9007152249296
"30",1.07156624927846,0.966537668505742,0.901509346035687,0.964354180119502
"31",1.01665026866225,0.876828933375627,0.860939435491211,0.874947678416654
